ticker,pre_total_var,pre_syst_share,pre_avg_corr,pre_beta,pre_amihud,pre_momentum,pre_log_dolvol,pre_downside_vol,w_pre,delta_w,crisis,peak
AAPL,0.000575158525428526,0.1985015706598849,0.2059775477225031,1.563733461796875,1.0144883866246194e-05,0.17176909129815654,21.31730499395626,0.013006514410981523,1.9153873040049166e-06,-1.8436641887721914e-06,GFC,2009-03-09
ABT,0.00010867765052892518,0.21468091791135904,0.23390909176290703,0.7068932216661271,5.377709100362511e-05,0.22860525214244934,18.7701417236639,0.005744954639452593,0.0012475586873655362,0.17699326870594853,GFC,2009-03-09
ACN,0.00020118321258252283,0.15444227698714194,0.18055557824166518,0.8157666421456986,0.00021972642356776268,0.25934106908868537,17.779700947866644,0.008663113213599935,0.01947545834203077,-0.019475283766995716,GFC,2009-03-09
ADBE,0.00041770259204086874,0.2200596720802781,0.21921765500307888,1.4031069987009668,7.785916263227324e-05,0.10774123513189054,19.101370276327362,0.01183292085779091,2.0346056917500057e-06,-2.0127531372596746e-06,GFC,2009-03-09
AIG,7.219378054719507e-05,0.4056708999318369,0.32454308775680507,0.7919974718141896,2.2454024943609392e-05,0.046082234674601374,19.41546222670478,0.006358752517562084,8.209919775893665e-06,-8.202432467917362e-06,GFC,2009-03-09
AMD,0.0010551283795623729,0.2341834523123062,0.20874483848566225,2.300476118728152,4.484387118461578e-05,-0.4056288986035875,20.08110184674071,0.023490774004475037,1.7346329241267668e-06,-1.7092017167520958e-06,GFC,2009-03-09
AMGN,0.00013766619364399314,0.15907349792282524,0.19825846413347603,0.6848564382919736,2.16417707083836e-05,-0.14564509476821175,19.866737642504507,0.007982744863095572,0.0033977644645053926,-0.003397674648178042,GFC,2009-03-09
AMT,0.00026788871462756235,0.26661495982248057,0.23795745469669313,1.2368198345642571,0.000197372193097938,0.3304281621729011,18.06384842318296,0.009486462935805655,4.317740520599152e-06,-4.287631981354183e-06,GFC,2009-03-09
AMZN,0.0006787632442164664,0.26150330058693116,0.23729597985910564,1.9497760020406152,6.557384812892328e-05,-0.19570508562675643,19.34768957934015,0.02451595109479174,9.342753267270159e-07,-9.118115436175757e-07,GFC,2009-03-09
AXP,9.743742284433827e-05,0.44997073784002123,0.3350176145392208,0.9690406718913711,3.638646699439643e-05,0.18149333501246512,19.10814170086975,0.005567720300133396,4.680641708077242e-06,-4.667939137053161e-06,GFC,2009-03-09
